site,division,category,line,model_name,recipe_group,uniqueid,product_code,model_complete,char_name,char_time,char_value
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Presion_max,2023-02-11 23:45:50,2.867477
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Presion_max,2023-02-12 06:45:25,3.0034723
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Presion_max,2023-02-12 09:21:50,2.8819447
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Presion_max,2023-02-12 18:21:05,3.0642362
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Presion_max,2023-02-12 21:44:40,3.1047456
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Presion_max,2023-02-13 01:54:20,3.23117
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Presion_max,2023-02-13 04:45:05,3.0594137
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Presion_max,2023-02-13 08:49:10,3.096065
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Presion_max,2023-02-14 01:52:15,0.93076533
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Presion_max,2023-02-14 05:03:15,2.7254755
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Visco_max,2023-02-11 10:19:15,0.0
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Visco_max,2023-02-11 13:03:05,559.38
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Visco_max,2023-02-11 23:45:50,579.17755
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Visco_max,2023-02-12 06:45:25,717.0
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Visco_max,2023-02-12 09:21:50,900.0
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Visco_max,2023-02-12 18:21:05,8530.0
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Visco_max,2023-02-12 21:44:40,920.0
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Visco_max,2023-02-13 01:54:20,846.7058
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Visco_max,2023-02-13 04:45:05,848.035
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Visco_max,2023-02-13 08:49:10,813.6275
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Visco_max,2023-02-14 01:52:15,0.0
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Visco_max,2023-02-14 05:03:15,800.0
